Designator,Mid X,Mid Y,Rotation,Layer
C1,168.8,-53.5,90.0,top
C10,163.4,-53.6,0.0,top
C11,185.5,-66.0,0.0,top
C12,186.05,-78.6,270.0,top
C13,170.725,-50.5,0.0,top
C2,171.5,-52.5,0.0,top
C3,185.23,-55.71,270.0,top
C4,177.9,-64.75,180.0,top
C5,191.23,-35.67,270.0,top
C6,167.4,-60.7,180.0,top
C7,167.275,-63.4,0.0,top
C8,171.0,-64.55,0.0,top
C9,201.435,-39.9,0.0,top
D1,189.49375,-77.65,180.0,top
D10,199.4925,-45.85,180.0,top
D11,199.5,-50.65,180.0,top
D2,197.4875,-63.15,180.0,top
D3,197.5,-64.75,180.0,top
D4,197.5125,-66.35,180.0,top
D5,197.5,-67.95,180.0,top
D6,197.5,-69.55,180.0,top
D7,197.54,-71.23,180.0,top
D8,199.4925,-49.05,180.0,top
D9,199.4925,-47.45,180.0,top
FB1,167.3,-61.9,0.0,top
J1,202.325,-56.92,90.0,top
J2,181.3,-40.79,180.0,top
J3,173.31,-74.5,90.0,top
J4,173.73,-37.0,270.0,top
J5,157.52,-91.6,90.0,top
J6,157.52,-85.8,90.0,top
J7,186.9,-40.5,0.0,top
R1,165.0,-44.225,90.0,top
R10,202.5,-69.5,0.0,top
R11,202.5,-71.3,0.0,top
R12,203.5025,-49.01,0.0,top
R13,203.5025,-47.41,0.0,top
R14,203.5025,-45.85,0.0,top
R15,203.55,-50.65,0.0,top
R16,189.21,-40.86,90.0,top
R17,188.1,-44.0,0.0,top
R18,147.0,-82.5,270.0,top
R19,154.9,-69.2,270.0,top
R2,186.72,-56.03,270.0,top
R20,157.5,-69.2,270.0,top
R21,160.0,-69.2,270.0,top
R22,162.4,-69.175,270.0,top
R23,163.3,-82.2,90.0,top
R24,160.9,-82.2,90.0,top
R25,158.8,-82.2,90.0,top
R26,156.7,-82.2,90.0,top
R3,192.54375,-77.65,0.0,top
R4,173.75,-67.0,180.0,top
R5,176.75,-67.0,180.0,top
R6,202.4,-63.25,0.0,top
R7,202.4,-64.73,0.0,top
R8,202.4,-66.25,0.0,top
R9,202.45,-67.8,0.0,top
SW1,144.4,-43.6,270.0,top
U1,174.0,-58.5,270.0,top
U2,193.7,-40.645,90.0,top
U3,186.0,-72.0,90.0,top
U5,159.25,-75.8375,180.0,top
X1,162.5,-57.87,90.0,top
